Ranking,Wallet,"Total Points
Total pts","7-Days Points
7-Days pts",First,Last
1,4kN..ayX,53301841,3378450,4kN,ayX
2,DHX..yCP,42793036,1836490,DHX,yCP
3,LGU..2ak,8472036,903955,LGU,2ak
4,Bvz..qgo,9512974,898354,Bvz,qgo
5,6AK..J8w,16309561,814616,6AK,J8w
6,86f..qh9,21151021,777026,86f,qh9
7,B99..4Ax,12810567,775811,B99,4Ax
8,3xy..udR,1553114,671443,3xy,udR
9,Ekw..N1W,4023738,611348,Ekw,N1W
10,2ct..knu,6469719,607475,2ct,knu
11,3pV..rxi,6157679,580562,3pV,rxi
12,6c9..WFe,14395443,555214,6c9,WFe
13,HVa..CVv,2637088,527595,HVa,CVv
14,GVc..Sak,633225,512011,GVc,Sak
15,9Gc..837,940991,509844,9Gc,837
16,5bw..c3u,2663472,457797,5bw,c3u
17,7R7..ezS,4389216,451078,7R7,ezS
18,Af2..GuH,19433307,443353,Af2,GuH
19,2jJ..H4H,6661254,421493,2jJ,H4H
20,3D4..aZL,5658683,413572,3D4,aZL
21,7sS..161,2191263,410358,7sS,161
22,9K2..gSx,409627,408117,9K2,gSx
23,3n5..Min,2954679,395190,3n5,Min
24,EFt..BfD,7082293,391470,EFt,BfD
25,5db..ejo,864942,390415,5db,ejo
26,F7z..bWB,2600606,390070,F7z,bWB
27,5re..eAm,7885766,379131,5re,eAm
28,2E6..uny,2811488,376476,2E6,uny
29,78A..jM5,780122,367800,78A,jM5
30,H5t..a1F,1771835,366336,H5t,a1F
31,A5r..mu3,1432460,362979,A5r,mu3
32,2rx..v9X,7788315,357344,2rx,v9X
33,7XA..bxC,436102,356792,7XA,bxC
34,J7T..pfx,692691,355220,J7T,pfx
35,9n6..C2w,3525502,352921,9n6,C2w
36,7ZZ..E4R,1542208,343168,7ZZ,E4R
37,777..kER,1918565,340444,777,kER
38,BzX..ty9,5039367,331259,BzX,ty9
39,4Me..RsB,1297924,323198,4Me,RsB
40,G5s..wX5,4650999,320927,G5s,wX5
41,DbR..ZmS,737763,314519,DbR,ZmS
42,9jP..jhk,1284180,311731,9jP,jhk
43,CDF..mG3,4783071,309380,CDF,mG3
44,5ec..h3R,2519645,307164,5ec,h3R
45,CXm..kE6,307080,307080,CXm,kE6
46,Ahn..brU,12936959,305208,Ahn,brU
47,BpU..HQC,2616950,299270,BpU,HQC
48,2N7..5up,3178212,298025,2N7,5up
49,Czi..WzT,1781159,293955,Czi,WzT
50,Dw2..9Lu,1780433,292953,Dw2,9Lu
