,Ranking,Wallet,First,Last
0,1,4kN..ayX,4kN,ayX
1,2,DHX..yCP,DHX,yCP
2,3,6AK..J8w,6AK,J8w
3,4,LGU..2ak,LGU,2ak
4,5,GVc..Sak,GVc,Sak
5,6,86f..qh9,86f,qh9
6,7,3n5..Min,3n5,Min
7,8,CXm..kE6,CXm,kE6
8,9,Bvz..qgo,Bvz,qgo
9,10,7sS..161,7sS,161
10,11,Ctc..Q34,Ctc,Q34
11,12,8rq..5bM,8rq,5bM
12,13,5bw..c3u,5bw,c3u
13,14,7R7..ezS,7R7,ezS
14,15,4ee..ncY,4ee,ncY
15,16,3pV..rxi,3pV,rxi
16,17,2E6..uny,2E6,uny
17,18,Af2..GuH,Af2,GuH
18,19,HVa..CVv,HVa,CVv
19,20,D6u..4fv,D6u,4fv
20,21,5Cw..RUr,5Cw,RUr
21,22,7XA..bxC,7XA,bxC
22,23,3xy..udR,3xy,udR
23,24,P2F..had,P2F,had
24,25,5re..eAm,5re,eAm
25,26,BzX..ty9,BzX,ty9
26,27,2ct..knu,2ct,knu
27,28,9K2..gSx,9K2,gSx
28,29,9n6..C2w,9n6,C2w
29,30,H5t..a1F,H5t,a1F
30,31,6c9..WFe,6c9,WFe
31,32,364..Y7p,364,Y7p
32,33,CGz..FmH,CGz,FmH
33,34,6PE..Bts,6PE,Bts
34,35,4Ho..PwA,4Ho,PwA
35,36,G5s..wX5,G5s,wX5
36,37,B99..4Ax,B99,4Ax
37,38,4Qb..zEi,4Qb,zEi
38,39,EHx..7aW,EHx,7aW
39,40,B6z..o1Z,B6z,o1Z
40,41,777..kER,777,kER
41,42,AP2..NfL,AP2,NfL
42,43,9Gc..837,9Gc,837
43,44,9Xx..UAk,9Xx,UAk
44,45,2NW..ggp,2NW,ggp
45,46,Heg..432,Heg,432
46,47,5db..ejo,5db,ejo
47,48,5Hf..gv6,5Hf,gv6
48,49,6wX..2bw,6wX,2bw
49,50,Gdk..4ry,Gdk,4ry
50,51,2jJ..H4H,2jJ,H4H
51,52,Ahn..brU,Ahn,brU
52,53,78A..jM5,78A,jM5
53,54,FNG..Ujz,FNG,Ujz
54,55,2rx..v9X,2rx,v9X
55,56,3D4..aZL,3D4,aZL
56,57,5ec..h3R,5ec,h3R
57,58,kos..kaE,kos,kaE
58,59,4Me..RsB,4Me,RsB
59,60,7mx..zru,7mx,zru
60,61,GCr..kTQ,GCr,kTQ
61,62,8vd..fQe,8vd,fQe
62,63,C36..Hdq,C36,Hdq
63,64,E2B..UTp,E2B,UTp
64,65,18J..z56,18J,z56
65,66,EXo..vxc,EXo,vxc
66,67,AsF..N18,AsF,N18
67,68,CWD..8Xp,CWD,8Xp
