Account,Token Account,Quantity,Percentage
5B7BwmRp9EJfFGLeyC6S6KWGBHRUHZ7WbaDgW8mnVpQY,9UfxvJbFqor4uyrRWY2tYJZgDX1yTLy16TDVaQBA4dx2,78221897.00,7.11
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,3LngWe2Rd4fVudJgeHhDViTCgs85NUkCFfrvsKjkKm1Z,74279317.21,6.75
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,H6xufNnV7R966NA32xZ3WQq6QC5aLbQZ9ZEEjQYzQA6Z,47268562.40,4.30
8CaTuoD1r6CzR1mu6ueTDvjNpLj7sq5nWafDLymkQ4jH,8pBo8xeywoUihUsmUR8HhSF7zvzJVaSbsBzuwYZopPWn,40566585.17,3.69
G8AFH5qJ3eGx7vKFZsjo4LmxYCgTQ45WFb5FErq7PT1r,ASnZZXBFVMDJrVAtJmHsLF9UGMDVajLYVWn1qYFPUX75,30296020.89,2.75
DJnHztNmw1H56uYm98PNu5eVZ5yhi9482rZ9zA22TUUz,5pWWpauqpx2n3kZ9KisE8tJG8b4HFmAg3reZ4dWUrKLD,21338872.63,1.94
6QFG5Zw2DEoMeDkvooqS7t7yf82UQEGHxuViMx9dVJgD,72ys6fSpmLJnSWGGPQ8C7riQuzioRqNhdrEsUtUkWgvR,20000001.00,1.82
FxJqP8jRQESFJsLP87DF1pUsAZfqiHrhRenWS3NvqFgQ,9zHRLG4ryFpqruyCRCJvLVgzphUGCFavTMqHPEbEaAKK,15951027.66,1.45
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,6KqEAKbHdoGr3hjDN76R2bdbiDRxjAateZHXaN6LWjvA,13532989.12,1.23
4DJanJ19AjwAyo8MG9V8MWBfq6k6H9RhWPFnpmeFNpHn,7oHzUPuBaNK86d2DAFDYoFKFcRDuXjcuAQjuvTzWRWYf,13161905.33,1.20
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,DLWmqtWodACK5cP1gtmpw4hsBTsYDUytXyEvDcytex7E,11634599.67,1.06
FBiJdTjiwb7AJY5bWm4sh6BnV63EtMfegftvYhUaJLqn,4RHQVjM6amp4r6oNM4hjNvrpUgc7o7F3J6iVyVPYpSML,11426450.19,1.04
2UAeWoJ9ZTv6KDk1j8kNmRsG3yKq4cGSdip459GMR6Ho,CTqw2ruDKcS5oZxGvZDF6GmgvzxHtuawzB6CNmjyDvJh,11420000.77,1.04
5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5,8jfgU1gwBDU3XsyjzLw7v2sW4936HmDebg5TnBvZzByv,10017499.56,0.91
5XFZwN774WMorpvA7aQBaPexPCG4iiaYm27SAS12h4R9,5XFZwN774WMorpvA7aQBaPexPCG4iiaYm27SAS12h4R9,9511181.62,0.86
AeyXJiiVBwBGjqko5X5P8MpQaRpjjVujCWcxG6cBLqUU,2Bezik51bAyLdwW9iG2aLZnzPUQUwY7DoVpUxb7osXn5,9000000.00,0.82
3vk8Hr7R1ZAcexDsQeHaaYTWsUG5ct6KEDbSCh3cJy8R,BduE9XEucM6eC3oJqDgxE5p7j7jDsWEpw8aix6PCJqug,8857008.79,0.81
CX3Nx8NPv8ZVqiBS7eLHBjrcRk69o7k1Z5q8Go1Uqc2z,6PBPj2GgGiRAy3G8pPrVMg2ifZkv5YGahBYHERvfKCWC,8022447.33,0.73
5JUChu8LwrqtdB2DMfjMzcyMbw1GGzW6okAEVpRo2FfQ,8jVWecF8BL6f1z6e678cZeUKsh9EjosXWbiJiDa9yHSp,8000000.00,0.73
BDZsMfVhQBWZPkCwHfZbP9M54QpuhagfPMr2vHCALPZM,HxS2PhceyFQUdJsNYiwC4uBabj7xcvWwwnBBLv7rEapM,7999900.00,0.73
5sTQ5ih7xtctBhMXHr3f1aWdaXazWrWfoehqWdqWnTFP,4FzThj6BossUNb19S1z9fNqGAA1RTnEUt92jYbgRr1s5,7564287.88,0.69
AfL5tJy3bHG8C6jQK4z6cw5WZ7DDPqibXLrFshVBcAEe,5WGvuYsqBsQzSqYFyT2bmBEXU8LA9f1eEf6yC2tprdaQ,7276715.38,0.66
