Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,CfkPL9Xq4kJRK8uehf1dw8DYwm2rXqaTEa3ka9MuNK78,144636832.91,14.46
GGtNBthsPiFt8f7LTjBr2aycYTZsgaTmDjZsGADzhatP,J4HVngD2yz5wGnKa8hHLbhZsFBSTsHyiuh94Le6H8cN1,16741238.16,1.67
GY8Grp5XWGYdgshCx8UjtMWTSQz1WAD84Y7SyeYES2NP,2HqpU8gND2ufzzn9C1pZc7MPhyTC4EVmc9fbjg87LdRx,12411077.47,1.24
D5fjvNy8anvDfg4QeTNHF3nTgCrvTej2TTih76pHWJnE,BEyMCAocFXxn65DryGW3MDBSxX2swAFXBtoj9daJGx7J,11240590.34,1.12
FnjmKARGQ3sorfLNzx8AKjLhQiM1U7WGotHxGwdqRe3H,DbmH378KzyVfbf9xLay5syVAJgqrroSCNgkmMhSfChTz,9895743.00,0.99
DXXHqbL8C7deHk655BiURmJLVGzCkhE6xkkE4xj4VJzT,FWXDhGyTpy4xE28vwG5ZdHjhf95ADgBsrm4sgvgSE9SU,9201846.00,0.92
GcbiGxXxCjdXZ4s8xddKCuoNKetiFYvpyVo7TRFaZXZv,CKsbfcbFoFmQAgPdUjBWsKRcWiFAt25xVE3PyvKuBfpp,9175632.00,0.92
2USzGz6VPiLyoudrGHesEzRua5WHcp6zRN9FEw2UU2yd,6i7ECYSKrW4j2oGEi8Wd4LqJdhSLA1zWrxJUfvyBNDWm,9103824.00,0.91
DVvweDBmKbQUPTHa3GKMBUx9zcpW3DxeFxUEdQ5wPsBd,gebjWphMi9GQ1GGLqc8whp5nuCvvTwdTWsuuVs82bsX,9102386.00,0.91
BsKCiaNThpPYCMFDbKENs8qwSVD9hS2iZmTMY8eov6SL,7LqP8eSfJjSnmEmhe2V7njbNVZPKNhioVWTb66NrhZ8H,9092314.00,0.91
5cJpiriKN9qHzdtQ5QkihYDJwNBrbM56cVfG6BoVaFQb,EUdXr3gFJDmePav5xZrWTcHS4joU6y87ArmUv9WHi9pY,9083612.00,0.91
RjGDjLTb9CoBQwye1MK2ZAh8hZvzwtbBWZf3BBZGfGM,AWvhowJbYnzqJtguT1aXYzW61M4bjeSkNifc32SWMh3J,9033612.00,0.90
7RbVARfneSU4x5vakKRb3Cvc9HCCNuZD5ohWQ7UnYGjt,56B9FH3MG2TQU9BL84fDeXTJ4FrbAWX5DXYVxcKb6YzH,9021638.00,0.90
GMxygcwz8HSxLhgY4Pn4eooQoE7aTjSQEDredQrVzirK,6t852e8yGtuBBku6k7jogVKr9ziWxF35jLbsE91yJizM,9000000.00,0.90
89AAbgbkCNDyFP9TKK2AGdTgeVu3G84tGQpxSXcydWaD,5WgLBu76JS3Jnwzd4XYaL83UjM8P5ZMxUmAuoKtYhvZm,8974523.00,0.90
hURBjL84NakdJuNWJHSTmn6nscUwXS4JCgUU5EEH92e,FV8g3jVMhZZdHybMPvj23wLQiFnhXDd7JjLM7XQiqRnT,8932748.00,0.89
ENF2ymbR1s9BxAKpfKswBdXV7HsL4vK9rD5UDAb5FN56,FXJzsNDgsveBX2KvZKWYVASnPAxfnB7ysXJvuCakq29w,8923104.00,0.89
54u7WzSFRoaXQnxdm75U6AdycqR94fb8Yv8vNEUY3mnH,3jhakV7p3f7Moekmu5vbu8ma7FZJUmHYdxyhkUzH6aBC,8817826.52,0.88
57UhPTeif2BwU6N3wXtNmB6iyePMHfCFn3XWq94DJ17G,G1tmzRmtdc5MYKReyXXbv9tT5fVcDVXLrt9Gh2gSbsWx,8742163.00,0.87
EXnEPNQYdhEhAK71ACwpFakpQA7k1qzsJAXNir2RXzjh,DfcH2jHpLoNxdsLwVoSmuaGDNjptKbuJn1HtTJ6EeAQj,8712345.00,0.87
9RddQcE3YMjqVLcEBXveZm6dXuTaEinTDsjzuj45rny7,EN7HEbCskqibVrSaT5TaY9mXqEaUF7MpTj5BtETGnaE1,8539412.00,0.85
9tzAbDwtgZawphbXFJFkSLG1ddiBwhWoVCfavTXUZn8E,5Dqvz2eTXCspeB7jsG2TAJzaUewmiSGHLkDpogVUvDss,8539241.00,0.85
EQRSvcE2yRvL53Z3e4zUJLjoE5CaQaJDCKgapKpXaCFR,8v7QZHSnfWqRkMX4eybnkxEBTaxeGsoLVVCNxsqmhmoX,8485327.00,0.85
Bbeiyk5msyRMrsCDZQ5QPeP7WCr9dya1U88JHyNZAsY,9xRzwaxXoXcpWitkkfn8VCFQUEnugLN562B2Z82e5apr,8472315.00,0.85
64Pw9y7tUPcbEWQqKRYmfcorfsfGM6quPJDnwrrrP9Jv,6GQeWx7p5YqBQkQqF5xZUJraxan3nATKjmcXN1TmmNod,8423961.00,0.84
FnBxSrHfkMjLY7KH7tZMPznHbBJ7ZXc645y829d8AEwZ,23z3CMqUHdXBEbfJsV3eLyUtpGxeRhBuhxm6LAyqAF4V,8310624.00,0.83
7MnMBSjv1T9wFoPoN7twJLkGxi8z8kxAnS8wxNF2Tbm9,9gSNeCL9659SNrjP6nbumeUE2v1mJ21RpBTFyVNSSBJU,8261793.00,0.83
2jhXUMmsxNLW8QFghDTvNeBwU71xUNo5CtdNReUmCZA4,F38xvjDdarmLFdcoJDGtEfieEoQLP31uCFPwDMA1ZdEP,8153647.00,0.82
8Lo5VarNEwnz6DNwpWiipMSAJpW88d8HGcDqUPPkVXfJ,AAvTrSKwtGSeDwbhGYKkje7kuby5QhDVCpADtsTmFhqQ,8123947.00,0.81
281s6iPmia7R93u1Btzu86k7nmDKUCqbgdVFuFEEroMe,FTjcTWMRujwcJ8iHUxEmPY5rCVqg6crjwUmjj98YDPap,8092746.00,0.81
E53KLcUR5dBkJqtDSRMfU1TEqRLuo5vXqr7VnmwU1cqs,9aSDcwUgoFPR6amnAQgEu3Agw5BbxWMkPAimHMCfGjd2,8088319.24,0.81
AxLHKRYHAnpMxk2TDNku6cvra4e63a8zd9BvByorTnhy,6tRE6dSQWA8gT9x6iP77VH9WZ2HxJ85U9tKEbY79s49S,8083612.00,0.81
2NXGoQx2NoUz4HymKG2pjpPn75wFhPqb5WNkYH4ybQ7N,ADrAX95W7jWK613ggDJjKyaWekd8pvwP63cAwJ96RJyx,8045123.00,0.80
HcaUEzc3jMLo2RWjzpXGo1koPauKDtJHouCcTDGN4TnX,7q31AgptSMUUcdCvDW5JLr52FUmQGh7mSmVuoQJxmH6S,8013459.00,0.80
CezJYqWQ8XwRcGwC4DDfAhLKm4uQyMLzdM2ViqhXgnnv,BYPEidBTsfQzxwwbACR4eutQ9ER3zwBnQqVNWKPkgyQd,8000000.00,0.80
BcVbwPDpjs2Dqw1ugB1T3aeC99dGyiT2Z79rgD8sgLKn,9cwZ8pZu9tzywRtwLWS2a66vyWU3SBeUDECXKYiNRH2S,8000000.00,0.80
FsVF4p7oVwzch6KeSuYaaeeyHS6U3ThxEwkF55g76CCR,9238EkgUBLqT7jB7kXYc8tK7zHYysRKaak5qJygz6r2p,8000000.00,0.80
7Jpx6gnWHeE7xcRJKLN75qcQxZMxtPmdMz797S8bUTBm,9ci5vi8oarhLJqn1EgMxhMm2T3p3LKNidF7yR5Q13gB4,7991624.00,0.80
6FAXy7GSDtSGQwNzmUYPjcjtYQLQA6w9Db3QtQboZFkQ,FL6gaqUa1SwN6ZjAZ2d24myBEuudELLqrCRH2rWJt3kx,7983465.00,0.80
BFZek7tUAguQDwStVEGACrapwPUe4cwJs4EYeeBQHK9o,CzgAYSonkrESn5BebSCHM7saxgmHPZk8fNavEF9XrXMx,7976132.00,0.80
7qvq6sWyXm9sh5JVxKicJtcH2uZJELX1PTNhi5HMAbTD,BPa3oCavQi5n66KY4yf93yhKWN2Zr5deT6aoAgHdYbu1,7936518.00,0.79
CMBgBBvYjpmMrP9RrrvKqPYE7npveReeuvf2UqH9C3PN,4qfhT5tFBDCPfgxRjDfCytqJmqYvUw8YjTUAR9wkUk9v,7914650.33,0.79
AUpU8NYtpWExJycHUGUqs8ZT7Q179R5iNh4YMZban51k,3mv7ieGsphQ72jofaxYCqto8b8D989JDM25Ckt843kF2,7902348.00,0.79
GUw5PfcasfBUQyKxp7t1yRuqBuXZxYK766Z6iJCKt6e6,732s1xjafrevaQMZc5G6qtU5v3UgLutk1muMy6HAQAAB,7864523.00,0.79
5gtcfVnNqWfKj6diiMwvUg7neLmkd9MWWkPZun94gJFB,3SytAd8VPKrUbXymugKfJ1dMQ2d2fgdKQMN5GsUjCVFt,7860415.00,0.79
asHYcwpACjKc9TMYoBiirvDhXPUrdYkf7yJ4uq5Myu2,4jcDuRwJ4kDWCD1Y2xsobErKH5NuSGJZmLdMYu6Sziab,7839428.00,0.78
DYrmYSCWg2PKmBiWR8zzWNyxcx6h64Sb47rfxhWcHag8,8WdbAJSgaUKQDoihQQbakRWWbwLH8FtFacFu644hsCh8,7835042.00,0.78
FBGu2YsjE77uJkZQ939y3Lhfe9d5tkCAeWpn4C5QmLfc,HJTLRQpZ7qmxCHQ34BF9GuoY2no6SisNeB2idc66odm2,7802136.00,0.78
F5ZosoPRxjxEBLDnXCY9PP5N61dDp2Xm44FV8PrNtLeE,AjQriJCPTK2SwvjBCcR8TnJedxzPaRpin3YuuAewx8uJ,7783402.00,0.78
6yZaexRwbQKDXHa9ckKzisPXde89SesSdfZAfsE2yBwj,CY9CVsfp9cj5y4yAtXzB32J1hRS59C2VcGvCgsk9z42F,7726523.84,0.77
6ZmLbuW6DPD7riNffhaUwnr1q3wdAmR3GwC77SwZtoQn,GKoo8LUdyEFCeRqYkqwvKycYHXRRG6eZUSTfqv32SYL1,7718423.00,0.77
C1s6dVo8UAouxDkaAa8qfdDKiDYeQD1rGu9YPWn6Zok6,DVyhVSHkyVoDxvVHMbas4rAXJkm853n4RiiyxsZCv9hh,7659382.00,0.77
HvVTGg5yjd7ufVVRq8W1Z6CTVGVDYSb7Sazv98Y8Ncxq,3y9dEafBMEgDSU1SwysPJaa98ZJkZRcTet2gKjJVCDBg,7648035.00,0.76
