Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,AWqyxgarzsDrADVmcv9r3vzeL2s5WWPmZhLgnYKjyndF,33665055.26,3.37
Hr3byzHKDa7U9MgnfNr9tvRxzvX7fz3sZLgfDgPHGQ15,3ycrVXfmvfPuYx2QGecgUDTCc9gpvtutE5ZMkSmaV78K,22168340.00,2.22
4qMhJ42sCexUkXgqEkPt9nsyK93d92QeNGKZNyNYPGUb,BuNyxHXaNM2EM89AtoCUqGszGBDeqD8HGAruF91ej2yn,18037076.17,1.80
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,88SpWxAuwnJxGhijH2AkeUedcqMx1wjp1CQRSx9RwjqP,16300572.84,1.63
J9HqxT4U39B45YcXxL4B1GZzdhSrXFr2N2Lam4bXrQeB,DxePSuQf5ptM6tNEy9UoExfaL5N7AMRnUkyqnpi9X1in,11031518.41,1.10
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,4muF7Aqo4EwBGiJAicU25KyKwGBe2kRy1GJHoRbP4scG,10053660.86,1.01
94GevKgX3yofzQgRrNfdyVwJUBWLBbxgAxpT5SRfw7nB,3viwHWCENmeFfKPDzzHimUfwsGS8Xu4QyzJUAbsxqchK,8911573.76,0.89
8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,EJTmv7qCqTku7v7u9WUZcu6o6uefxeEd6FR8MzbSumZu,7941897.57,0.79
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,HmuYtKDmhkbpDN2Lwvp1skKddRhaDFyoEfjFhHPRu24d,7922959.75,0.79
J5YWwgyHAGEKWqycLrFBFRZqa7mTa1eTDKq4iSJsRWK7,DKe4zu421RdWygttXiSsPukrcCumjDREJvvTNhzcbsYh,7050734.89,0.71
Haee7H5bKDCnm6dXLkeR9DcWw9Puhnkwk71QBUSHcpUt,2Ffzox5EGzUJVBynb991KKuKjHUe6eM8ud2E1DUM1mAT,6900420.00,0.69
2WfNxFN74pzJWKnXQ7NpkbnbEEhSLVJZGiB9NvxQ4Vpb,48zEjpUMME7EuKevyDqZgwZ43x6mCcsYZEPPLiPn43Mp,6598566.31,0.66
5w5hQRFJVvsjkuiKJ65Jc2sGeJ3BAzWXGFdBQqHxbn6J,CeTxhM3Su4BZsN4fXccuSH38vETXRRXZsBqiRgjR3Zu8,6531684.93,0.65
54p2NvHo2oXH6cDmvg2gz6NYrWpDCnHaH98hdkw8Jtbp,MrHmwypu7R4YhGSfEqm6m4nwhDW62LEf9wHTDwbG9g6,6515181.04,0.65
HrNE8CpBBPyawPR8PvMDz7XWrbAsiDGSGA23iKAeFqg,EQyk87YXjtmV4nAFERtwAk2kSQT8DhpQR8tQNTU7QpPX,6483772.36,0.65
713uW1orSNGqyeChyW3EMhqa9rTSHqjP9tFWrjqp4v26,7kJmtxU63Lq85ZUqYEhPm2qJSDHQtt2v4PiUsGCSrY8d,6403500.33,0.64
2hbW4qF1SQKEcYm9Wi9FBVB3erUSn9LYKgB9AxbGSUzk,FDBsJkqSWRZhZBSqr4reaHrpGveXdPwQXXBcsNaZBfYj,6363702.26,0.64
7paR8yRQ3CtJKmEhVNBUFAQ1W7e85w1LdFW6EvgxWUb6,CSGpMNpRB66sWRJPaguBiDM2zCupsaUkaWpPjaKf9V9q,6282366.87,0.63
