Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,5AMPvu9RJCsZyw5wN4zGPCCuuYxpA5jLmohxzkB6GpWE,10780626.35,16.84
3jgub3P9KP3XA9Dwh7XpKu35BiQNTZZXbPmfBAJMsroL,58CU7Fo5B2QkP6Mt9SRtiZUiQSoXs6MvDPGraLz3fwjy,1385330.30,2.16
9Wve95bHej7cGmLwFHuFcD5ZGxg1jyPxYWXhr3PMSodK,EDf3VCtZv6f6xmD6F2Spqi5hHYTfoNorQpLNPAQo1BNp,1164693.87,1.82
C1RzF6bMVNDRqDcZbBGNZd3C3TDs6SG5P8FNtktVkpUk,HbPPYa6pWsxaoamwfWa9oQfmdeymeQRQ2oDW1E8cHMrW,1069064.39,1.67
AJ6MGExeK7FXmeKkKPmALjcdXVStXYokYNv9uVfDRtvo,C4ZCYUp8drVr6mgW3Py1VHCt8JihLnWTAxX1YsYKXsHZ,1056838.26,1.65
3uzGh5ZGt3cyBvG779avzjnrUg4G9yYqkegnDwXUfopQ,6o9tar8smm2xCwzCSRaJxxxLM8HjtkQbY33nVKg5ffnm,1048110.98,1.64
rp8ntGS7P2k3faTvsRSWxQLa3B68DetNbwe1GHLiTUK,FBZwBFENDrjAx4AZqRpBRNvyufFttKafcPcTqVhMWSbH,911857.77,1.42
5meY1dGNgC6LWATptPv228vt17N8ucPuuVvRJDHRXiEY,6bvAYgDEWoXCCFBx2swc1pPrHJJbdPfQFdwEsTazahXi,853511.23,1.33
8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,9EnFkF95w4fEKSCP84424apEXxAUTPTx4ChYyd12dJbL,781420.68,1.22
CkxVhktjqYuhsVfNQzqEZkwQ2gMU1wEFPM3FSSVXGjM9,H9AHzZ7QbhRvVec5hMUSHwH9U5UJucmEhGVgkXF9M1WD,761900.05,1.19
7Xg9VVBmMakUcvTeCupRqVgH373CA9bGyXEm342oDSjA,7Xg9VVBmMakUcvTeCupRqVgH373CA9bGyXEm342oDSjA,751425.00,1.17
4om3yYutHwZAvTyjpgC54tct4FReKdSNwDjpuGW6KrM7,56Go3dnwP8gQjoNFboT3TdqHitzjBg9JCBVvxRRLeFM7,742642.18,1.16
29s4ZwzVqyNKA35sTEfTny9Y2isnz4bsY9coTqZFGwjv,AXxBuVdMZVysqE7gZW2bQKpbVZKTmYpUdR1MNbhWpon1,739805.21,1.16
4hs753KvTQLeKHXKgK32N21mzPE7CDnMZdb5j89B6zLt,3LDNg6AyhMAeYSArbDbvfBu7KhVfRswD5FHsGWYDiT5p,722085.49,1.13
Eve43GXCmyboFvjnWRp2pQbL6xumTFrj45s9e6XWzCZ3,ASKMFKRK1xcxioCrhJAC7QKbrFfSFTuS81K3oBzPW9FK,680125.15,1.06
Govy8cRAAvZGhj4qeJyRQbfm4c79gLoguqMZyYziUcpJ,77dJBS6dgcUvrL8V7HjLozB1qEosJXqUMsjGCxW8DnCa,645717.20,1.01
2tK7qbNTzKYQWAwmvceDtzHJb7gtu9fDzZ2sD1bAhG3P,FMzJT5QHezDgCsG4oJbyBVmQ5VZLR4Vje2bH5SeCf1pz,635453.43,0.99
H3hkk4iFeoiLP1nXxPDA1QSdx6xzQPSSZ3VgdYCJXKBm,6rhqMtngQdMtdem2viLWwmg4zoiUYTS7sfBfZZnAkDvb,625670.97,0.98
3zcwsH4xY9WWzkR7QDMr5hB1UWhrdfWrj8aRsV6bxD4t,7UozBjahjngkeH1Ms38s5nqiMcgFZaiMC8d54XUY8Nzo,583854.62,0.91
282Si2J6j5MPnLbHxzrGDAYnTw5Gu4SnKMSt4EaVsecD,DmnCg7NzmPBAYMcsV4nJNeyjVdwsVj5ruFR3hxGshjxb,512303.39,0.80
8T9mnATndr2aUw9r28uTtxKSh2JfqJwrctW6XaWPHTgy,C8M68HjzgVbpwvykgLEdjDXtFeybAyuEhJ1A8sRevxb7,493871.97,0.77
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,DadsCiqP816tfX5yunF1cunQwjGUaFdvizxR87QABLCx,479397.38,0.75
EY9Xj5sqxXCYAwcTnDiiirjZt7a9ss1NudyGD74F3fED,5E36XCgaEHTYwDGnbvafdxESVUDoVouiqfqywsrJhqgc,471498.71,0.74
33YhJ4KRSXpqCXEXnCtoQJFqUNTrrdeWwhc9u2LJvCkq,8TckWYA8WyXA3HGEdC3yuwMMtiTfPQrR3DMSu5aQaAoZ,443502.86,0.69
FZ7dbmVLamsorZEt8hjqDyQnMa9Fe2nWTfDMP1ZgdXks,B9NJC2xosvfk52mwzFPtbKQzyxEnVfaSQCcyPnn1u9X5,439343.18,0.69
