Account,Token Account,Quantity,Percentage
2RH6rUTPBJ9rUDPpuV9b8z1YL56k1tYU6Uk5ZoaEFFSK,HkykUVWTctptXZmRTWearMsH4SaQNmE4Ku3tMJe5v2mH,800000003.29,80.00
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,7DaumTmUaK3xcpd8XJXAjUzDrCqPuj3S1Sc2cbootBUN,41383091.51,4.14
9un5wqE3q4oCjyrDkwsdD48KteCJitQX5978Vh7KKxHo,HW8WWVKqu4yQ1QshDeVCEFFNbRnNxnEiBjubPypxRj8G,15406003.38,1.54
5e2qRc1DNEXmyxP8qwPwJhRWjef7usLyi7v5xjqLr5G7,T8ewYnoJbDygARjFZk13PGsjxQ7eqNcUWUPeiQQGHBQ,14000000.00,1.40
GRvmQxtFRqtQZYaeF8bUqH8FrDHoK5Eabs5aYyU34bPg,3xxr6QzsRcq63FTN145x1oFcjkdLRahTTxnt6q4r42Tj,12540010.00,1.25
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,CVwBQD4C1ySuwnfbnq3pGcmgC3cb1RYt25U8XpsVEpyF,12250364.78,1.23
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,3yXrVPar4qfupBHa9Kx1vjwfFCARfveBhD1BNFB2vW4X,9601803.53,0.96
A8nPhpCJqtqHdqUk35Uj9Hy2YsGXFkCZGuNwvkD3k7VC,82ex7Yderfb229MDeGD2H8jGqj8C4HDsJM1trAALirYB,7821829.74,0.78
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,FruuwknoGj2QJVN89pSKiNa684ZXkm9aTyy5kapkjdxS,5471109.78,0.55
8Tp9fFkZ2KcRBLYDTUNXo98Ez6ojGb6MZEPXfGDdeBzG,HsyggfZwiioG2DqUVdVjiL8JC8WTs71V1n1goSdsq1aN,4500000.00,0.45
6brjeZNfSpqjWoo16z1YbywKguAruXZhNz9bJMVZE8pD,2u7LpWEipAf5Fe9cVcMyB48GuLK3tfw1xivWdhqjgo9d,4049688.61,0.40
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,5N7UxEiS2a4FZqvrp7WwuRNe3pXZzKXCaGcSiMeSbgET,3011829.54,0.30
EucF6LTAvLgksSwWNPjuyBG9S1iVkDABdmnGs8ficiTy,E5MNanWJL7rGdP3GdsRVLjCVZbsbkF3mNNUUnw8Pxet5,2622103.58,0.26
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,2aeSHoNwDxg7JP6f5gjC8sWLdZtqYVphRx43s63LyPex,2407214.53,0.24
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,GKYR3YtYoPpBjuUuAqXD6CVV7sDGndcRkpjqP3WSKSU8,2352466.63,0.24
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,9xaa7VAuDzTKvJrosgRm2eYShURmY17i1Nxhfn2YFxHR,2144664.50,0.21
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,GSs4bcLjrSpGE5MuzS4mzR14e7pdbbNy53bAkQBMwabv,1434383.45,0.14
FixDET3jRBMjT9M69Wim8iRpMQiJHkSSfD7wivStuuph,EEap2fufw8emQaxpzXXCHj6yaxKhBTTEZpaZgCytfMoG,1043184.92,0.10
2Fe47zbh8svDNGNehFy1NY8bsjQNtomvKFuq1jNgWSkv,2AKrj2zve3jez3qEafD3xpA6DS7QNw6aftiSKhb8XhJH,1016577.18,0.10
8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,Cd3HX8ToTVeJYTN4dB6BuRvnvmTFeXHJ3E4EAfR9s8QA,979001.20,0.10
7qtDv72fGzuuGmyg1FkTxBybYH2sXkUd6u8WXwnkRnpE,9cUcZ41hLtL9AsBgP8ExrBk7TvoNpwZhGh8vYWsQPTJk,911749.17,0.09
EwkH5aEmKEAC2M8eh8x8XVkNyPTZt1PSUH875bXrVmjP,78tKDG7fHP82ttUEypeyQT6mpy8mrvNt5AW7dnw9bRMR,766082.61,0.08
2Ejnns2Fd5gsZdFJbnkZmQEwbrgoiMc2ikKcS2z2Ps3e,C2mMzPH3aTL9beXNjEkVturBdn1A26YMBoVxPLtiMjAP,749944.71,0.07
7z5unN4EgnPpD6B9xYRaxRHUCNtu48zjk5RHMa3Av8mY,awXyoa2J9eqjmniSsG4jiF8FweNwNdAcFqXuodkrXUz,747063.09,0.07
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,8PjDWgdYqhGSJX4BYDcpBEyJ6jtdXHDRKyLH6GL6Cp41,655788.88,0.07
