Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,59YTiXwYJ8UF9S3fZkyZ2rTsjgxwQw44zDB3FJ91b4ST,222440781.79,22.24
BgKk5FU653RF36NXQZNZovitaCoCfHDUbyxpKwgfCq9A,7U9na2QhkBnsawCa3d1qXqJbwK3erxHukNQd6AFbB99g,57698373.30,5.77
EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK,C3hD22PXBr636X3vi7ZHJSYPEyrYTm3gNEpE84sdRQBf,31262398.90,3.13
DmMftth98DGEJZbCHsoHjzmDxm2xsxAkcoNZfAGdqSvK,HkAmJ2KPr7DiANG8umv4wHFVbC9UmVpp5pdC8QQA5mxL,22436095.09,2.24
FmG1iDYxPboiu6GZnaE3rx8svX73N76fXPLsR2C4wEX5,CVK5jDXXuV7QjczYzVv5gLKS5hEqVcBMk5RjzcnvNvMH,21662569.98,2.17
3SYFonkjpGaQnyVQhxDL4J6NKCRpESowyLrMPzquehHt,HfVRT79a7BQojSudAKL8B37oaptdekryrDuMXgTFPyqy,19313383.94,1.93
3ZGh5qts9nSrsdTzzdi94P89veU7ArMDMqPC8db5CqGD,AkNZbriFt5TNUUMvgZWkp7KBGWwsR1yPDTDPqghcekRt,17727472.65,1.77
DaVgk6kRNGBVi4KUpGGkHnS9jbYuYU7PHEtoZaiiZCos,6sgTqtstGEsgKETcnBqugve3rn4xtTMGbEVmZuBPsXFp,16408527.75,1.64
GvQ5gPiHtDqYgKEZhWQZuVAqsBWxoR2XNR6eSQVB1M9Y,FrBCVJaUQy6Hh8WazSyfsSjAW5vwXyfN6fkvcr5AhTdx,15034411.51,1.50
687kTFNvKG9GXf8UsPzyrKbKpz5ExNrSCWfs7S4PTGiL,AbTEMFbgC4FrmfQwvzuueSzdbQ7R2rw1QFZBJD8fBL2Y,14568749.29,1.46
DemfvB4iwd3NmVquvWqWbB92yVZWFFqybqBeJGdyEeM6,7PGBdr9jzncg7BsAiyb2B4A8ug4LV3cSQVkJBRM7uexE,13570330.64,1.36
5472FwGSXFWmP7esTp7HrrySmffP2LAn2P6X3AfrCCE9,GzSks8AXuMyiN7jdZQGchCtfjzxeWjsJvQJ4yxNhjXTn,13010442.15,1.30
CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,9CyZyxkRQ87Z1VST5AGLddu162rTnRv2eMnvFSE1D9CB,11990679.31,1.20
82kgYSWh8JyiXp2BM53Aeu7n1aGLeBGkGipnmySazqAy,BpNDQU7TztcJEiuwmpcBAVL3HEeFgV1EmbzVQjjBFG47,11908144.85,1.19
GMYpgNXVcT8RcPRpxdmr2Dm52gkLEoYK14wEtY6wzHuC,9oRunYGPY5ZMTJar4J7fzkWVxUFfv946GB72Kb8RWw4K,10999429.70,1.10
EcpqncwQAcdZRKQVrVKZSuwchNoT2HtB1DtvKeTNknYH,6S2UqMCEH985u8wiugUuAGxLR2J6bs7midTAu2XN66BC,10962318.04,1.10
BdkBMew2BHeqnCm1qr9YTnmRiKwbfSrmHcxGtVsPtrvS,8wwBRbFJr4UQ1t8ayUNGPpdt3J4AkYNBTAcbVEaQAzxz,10495737.45,1.05
DMJmb8aJMzzNur1hAwQoArPEX8dLfbuuuYZnGn6jd8DL,DNY8q35Zujh34r2CGNGYQSAWcKYH4SYGfqa2GAzXcUHh,10036311.12,1.00
