Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,BiYGTGuT7iggDzVXgqEkfS6d4fD7s6zssszWb4GLHMaQ,45598899.34,4.56
4J5rDTvRbzjuKkB4B9rvNEvDz6f1BEBzUVT5mdctKHoT,39qs2QyWRzLXghHax9HCofsaBpUFc27cPdzsLCsi4Nq5,29939503.54,2.99
D6AVByEW9rbg4iFZ1uAmdc4MKdaXaX4ppqithAkX9TTw,vMAfsAqi5PAgGaVCEc32hKH6XpvhPNs3Fhjh146oeTL,26587178.42,2.66
Av1sBpb7ZiCXY9PLM7dyg244VDA7z6uTdP9NgyxjeZbS,8LcE2Nt9t3u2TQmbzWteSh9RVKW9BQN8bdzjJoAKHVPq,25244914.34,2.52
HqaQcwgd2htczTYyPumQtk8CJVpBxNgHdmisPCe2E8w3,B1ZQu3thx7DnXAAgtfHyKUdS4LsyFsk9Y3bxU5zjxnHF,24558403.98,2.46
CPuUquq681VsJvN6pRmJ157fAWKorLitpEyJQqPvUcLA,82KUApqwKSfsJkBQtt9R6msnq1kKiR7pMBciwQyTNdpf,23735783.96,2.37
ASSor8HtpqGc6GxzmjdvHS9pkt3jtrq2vSwk25w3EwTy,HDbJ8ut6W75zptT7ecS2pBKTsThEYha1QhypnkioovuU,22156254.01,2.22
DrvR5Xn84VJ2HABTP3SnFi3V4W7EpZS6djoJC7HATeTg,94UVw869ReAVUVyFW83G51pgbk4Cv6y1cqGZeL7bWHBx,20906566.46,2.09
D4YVndk2b9TeL25Aex2vSTedkEthFm49Ev299FDfJHtV,4HJjFRNgTFuDawfWEQw888wXgMifyFuH8sLXAQPkLCyg,20858083.80,2.09
8foA5vJY2LzayvYxLnq5V96bmagkD3c6sDB91AxaEnzd,8FVc4Rj8T7BmWT3QmspDxLKtMXmGHrgL6QJ5HMdb9on9,20001612.99,2.00
FZNrSiYifncDHTRNB6L8AyGX3sQu4T5Jb9k56S1zgTsz,AmXQcq2amqAWzwuJ9iZxQznNTqJTrWXMX4xCQCZKBPg1,17191368.10,1.72
68MouT3CSRAoMBBiY3VnpteDraMkfQRmn6ziWt6X9HDP,DFMnPdnm4Sw9y4HWt1PjtwdwttX5kBMQ8r6SFJg3RVRm,15229044.89,1.52
9wf6P3Hu34vxmBb4zK6gsrcRza2Uk3bPvbgMtVZS43et,Bto9ZYifU5hTLpJWuXJkKBfEYbWnGmaA9JmQDMfNf5mV,15000000.00,1.50
3fz8i7d4YJd6JNi1Nn96c1M4mHa2kmH8YFFXo5xfJ5yg,3Q2Yp95xiNKvxcbWyrxnxE3LUdJSkL6XWzQsZNNfXoYa,14882646.79,1.49
59oBqs32Wysz52AMHAnxm3VBo1Gehs42s6m2rAY2To3o,EFqmhfQLN4VjEbam8REcuALkfBNDa7ukCLYXBgZMBGuX,14000000.00,1.40
Czat6VrmGSatD4Z9ymTJ4SswVSJDRwRCHKJtiRHuztBE,DLvJBQTnopZbDmw2xSxVfwKQjjobXN1vTZtMbUuZzsah,13246248.55,1.32
3LC3tYPcUPoekEXKo53D326BgjMJ7eaRYuHY3hUDobEj,EUai1ommpcMy25h2a8ePmHPWuDpwBUJkwwGXysQPbxo6,12698003.43,1.27
4aATgMGbxXmnTQfrjGPZhLon9PQXexM5Y3QVdrqFr4j1,2YCnvFZQM6RXefumnSGfpsER6ibFLH2zPEYXLeVhdm1f,12418863.49,1.24
FEv4mdpUjThpznj1s4DXjR1yapYinmefbBKFj6oiQ7aK,FYvdNWU7rtB3gNJgkg8JGhFTNStviv512UcrmyQckQki,11272416.99,1.13
