Signature,Time,Action,From,To,Amount,Flow,Value,Decimals,TokenAddress
wipu1wfin1uDQwRASXJSqW1wKRvUUixKLbwK2pGpeUPurSLK84XghLLKatYKGfzfRpUrzyPC5k6GPk4Thh2enSu,1738297560,TRANSFER,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,HA2KtZGZrNTFpKLTQsV82RwG3DpYUdDLJ5JqCrMHbm7t,100000000000,out,23519,9,SOL
26Ht1fHcQEXDQbZ4ULtwRziZFqR8Rb7XEQ9maqi6jry93b1oPu4bRaMT81eKKStr3bxNTkPGEUNJvZxhAJYUoZGY,1738297423,TRANSFER,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,65Pf8yLoQ8RFpfYbRpe5sWhrBi7GUHU4M2bJ8urgewjE,106002039280,out,24930.62,9,SOL
3pWjxZpr2ux9D5od7d4U9bFmHs5TM7tWhSZXtP7EypkHt3FasJwk3jfq589omWyiHGSGR7vYGNA1D1v35PqH91i1,1738297402,TRANSFER,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,CTyFguG69kwYrzk24P3UuBvY1rR5atu9kf2S6XEwAU8X,2800000000000,out,658532,9,SOL
VeQpo2oqDnMguYH5us3fB82zXmZ9ejMVNuWTBaGYQNgEGbtDKkBwPyhYsfsr7iTdm533L2eUkut54zTmTeya3Va,1738296567,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,EWzj8CYofTWeVewCdTpPzK2vNzNBmAeMVz3wqADmbS6X,19802039280,out,4671.9,9,SOL
4JaoZRd6Au9e2ADHE3qq7ukniYy2THHPRyWyEsajWf8jLcNYavpvsdcHqqMWQ1WyoR1Lg8g1fkp5hTBjECWsgaHk,1738296138,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,2HCHqkShe49G77xcsQ474yLGmt1gdYFcjN47Ttq935hT,24752039280,out,5842.97,9,SOL
3vxuct8tujd1GCUiptY5693auYPGS3ckiWvsdVVK5StyYzPct6ijGEUUHNz5Z2xWpyeL6XF7597S6hzNNvvijMQ6,1738296080,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,4iZXa8GBq7yaYZCJgiSPi1mmD1JK45NgHQ3EekYdoG3x,74252039280,out,17527.94,9,SOL
4z68e9QP4GDiSJqAPMEey2jWhmbkG5cUcJDFCiM7MkALnyMMabJQqPfUMGbG4bTJZ9v56zgDVoJ8AQqm4wjYDEPg,1738295910,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,Hh3PkCmtFrFfhCCksnU1vKnyCK8hB7NP2LkpLJp6YV3y,24752039280,out,5851.38,9,SOL
3XYF8gxPcbEzsNGq2ifCvxBRZuFqfMTTFzp3KuAq2dLD3uXZFsruXuujBYgUkrucLVciod81fxgVEPGpC6kgG7Hi,1738295155,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,HE42NtyAAUxJVkR5XtrQJwE8wxWNcjcgrNSe2ebW3X9Z,29702039280,out,7011.17,9,SOL
K7fNc3MZ58dtu5AaRK1aipxDcyaXMvxJLCvvpgSQGTMACvC34L56WpDgzLexnLNCJXNfK2zDFBnhBMoC8b5rAZU,1738295126,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,5tAvWr7cuPbxDsfxB9StBGKezwXKfYxkE8qF7gnQwqwh,39602039280,out,9348.06,9,SOL
26HRx4z5URka9LfaktwC5aEgtWw1V5rpCmDMVAyiaf2kcTUeVfSdzN1spxfmPFS6nE4DCYBddE3JHF4CEUvf34aF,1738294987,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,32nEjv39BNdMEieNLZEAxbFVDEpBif3PJwmaV8GEJmwo,14852039280,out,3497.51,9,SOL
43R4APzjYJvVoUHTTB1n536sqZpWkbXPwF6wUrDzcvLjGJqFYuohuLqMxdU6sTKV2dEWiDpjK7goFj8Y2HkQGkNL,1738294609,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,HUYmzfeXPDbWVauXuKwMhw5TTCGzB7dkzds1DYtoktS5,19802039280,out,4668.92,9,SOL
5tgWUPWxdMcxH8rbZNgakDMcibmF4GAPSHqUWk9kNYrCnxAhep2PhutRwFEVRWeibjbu7DwCAyyrdPBYddHV1H1G,1738293751,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,DVTeVWRvsByeJioVehFTy8kzcRuF6cVXgUd5e2HBJ2PL,29702039280,out,7022.45,9,SOL
51NgAXEPBqTpaNGjVSUi2sXyHroMepQiJYkYrCitPTqQHkVXUoBYW3NkMKdzE6tzVX7QUG6vhrcyTW7jh298Khkr,1738293575,CREATE ACCOUNT,CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,CRsVgUbRQYJiHDSSwZ9X9WFfy47r9M62jvkGYFXH4v4g,19802039280,out,4681.8,9,SOL
